tip2015_list_nat_PairUnpair ,  TIMEOUT
tip2015_sort_nat_HSort2Sorts ,  b'unsat\n'
false_regexp_deluxe_iter ,  TIMEOUT
grammars_simp_expr_unambig2 ,  TIMEOUT
tip2015_relaxedprefix_is_prefix_4 ,  TIMEOUT
false_productive_use_of_failure_rot_inj0 ,  b'unsat\n'
prod_prop_21 ,  TIMEOUT
false_imperative_Apa ,  b'unknown\n'
tip2015_bin_nat_plus ,  TIMEOUT
prod_prop_42 ,  TIMEOUT
tip2015_bin_times_assoc ,  TIMEOUT
false_productive_use_of_failure_drop_comm ,  b'unsat\n'
tip2015_propositional_AndCommutative ,  b'unknown\n'
false_productive_use_of_failure_union_idem ,  TIMEOUT
false_regexp_star_seq ,  TIMEOUT
tip2015_regexp_SeqAssociative ,  TIMEOUT
tip2015_tree_Flatten1 ,  TIMEOUT
tip2015_sort_nat_NMSortTDSorts ,  b'unsat\n'
tip2015_sort_MSortTDSorts ,  b'unsat\n'
false_regexp_kfind2 ,  TIMEOUT
tip2015_sort_NStoogeSortIsSort ,  b'unsat\n'
false_productive_use_of_failure_drop_inj2 ,  b'unsat\n'
prod_prop_49 ,  TIMEOUT
false_regexp_find1 ,  TIMEOUT
isaplanner_prop_16 ,  b'sat\n'
tip2015_propositional_AndIdempotent ,  b'sat\n'
false_regexp_deluxe_koen ,  TIMEOUT
tip2015_regexp_PlusIdempotent ,  b'sat\n'
tip2015_sort_nat_NStoogeSort2Count ,  TIMEOUT
prod_prop_12 ,  TIMEOUT
isaplanner_prop_37 ,  TIMEOUT
tip2015_regexp_RecSeq ,  TIMEOUT
tip2015_bin_times ,  TIMEOUT
prod_prop_05 ,  TIMEOUT
isaplanner_prop_50 ,  b'unsat\n'
tip2015_sort_nat_StoogeSortCount ,  TIMEOUT
isaplanner_prop_26 ,  TIMEOUT
false_regexp_deluxe_bad_assoc ,  TIMEOUT
tip2015_sort_nat_BubSortSorts ,  b'unsat\n'
false_graph_p21 ,  TIMEOUT
prod_prop_43 ,  TIMEOUT
tip2015_sort_nat_MSortBU2Count ,  TIMEOUT
false_regexp_find2 ,  TIMEOUT
false_graph_p11 ,  b'sat\n'
tip2015_sort_StoogeSort2Count ,  TIMEOUT
isaplanner_prop_77 ,  b'unsat\n'
false_mergesort_merge_comm ,  b'unsat\n'
false_regexp_star_plus ,  TIMEOUT
tip2015_sort_nat_TSortIsSort ,  b'unsat\n'
tip2015_propositional_Sound ,  TIMEOUT
tip2015_sort_nat_NStoogeSort2Sorts ,  b'unsat\n'
tip2015_list_nat_append_inj_1 ,  TIMEOUT
tip2015_relaxedprefix_is_prefix_1 ,  TIMEOUT
tip2015_sort_nat_StoogeSortIsSort ,  b'unsat\n'
false_regexp_find7 ,  TIMEOUT
prod_prop_09 ,  b'unsat\n'
tip2015_sort_StoogeSort2IsSort ,  b'unsat\n'
prod_prop_18 ,  TIMEOUT
prod_prop_27 ,  TIMEOUT
tip2015_sort_nat_TSortCount ,  TIMEOUT
tip2015_sort_StoogeSortCount ,  TIMEOUT
tip2015_sort_nat_BubSortIsSort ,  b'unsat\n'
false_productive_use_of_failure_drop_inj1 ,  b'unsat\n'
isaplanner_prop_53 ,  TIMEOUT
tip2015_bin_nat_times ,  TIMEOUT
tip2015_regexp_Reverse ,  TIMEOUT
false_regexp_star_plus_1 ,  TIMEOUT
prod_prop_41 ,  TIMEOUT
prod_prop_36 ,  TIMEOUT
tip2015_relaxedprefix_is_prefix_3 ,  TIMEOUT
false_regexp_deluxe_FromToConj_difficult ,  b'unsat\n'
isaplanner_prop_20 ,  TIMEOUT
isaplanner_prop_03 ,  b'unsat\n'
false_regexp_star_plus_2 ,  TIMEOUT
false_queue3_QueueR ,  TIMEOUT
false_regexp_kfind1 ,  TIMEOUT
isaplanner_prop_74 ,  b'unsat\n'
false_productive_use_of_failure_rot_uhhhw1 ,  b'unsat\n'
isaplanner_prop_15 ,  TIMEOUT
grammars_simp_expr_unambig5 ,  TIMEOUT
false_productive_use_of_failure_len_bs ,  b'unsat\n'
false_graph_t5 ,  TIMEOUT
false_regexp_star_plus_easy ,  TIMEOUT
tip2015_sort_HSortSorts ,  b'unsat\n'
prod_prop_17 ,  TIMEOUT
isaplanner_prop_19 ,  b'unsat\n'
isaplanner_prop_83 ,  b'unsat\n'
tip2015_tree_SwapAB ,  TIMEOUT
tip2015_sort_HSort2Count ,  TIMEOUT
tip2015_bin_distrib ,  TIMEOUT
prod_prop_14 ,  b'unsat\n'
false_regexp_star_plus_easy_2 ,  TIMEOUT
tip2015_sort_TSortSorts ,  b'unsat\n'
isaplanner_prop_01 ,  b'unsat\n'
isaplanner_prop_27 ,  TIMEOUT
false_productive_use_of_failure_rot_uhhh ,  TIMEOUT
tip2015_sort_TSortCount ,  TIMEOUT
false_graph_bt5 ,  TIMEOUT
isaplanner_prop_42 ,  b'unsat\n'
isaplanner_prop_04 ,  TIMEOUT
tip2015_sort_MSortTDCount ,  b'unsat\n'
tip2015_bin_nat_plus_assoc ,  TIMEOUT
tip2015_sort_nat_MSortBU2Sorts ,  b'unsat\n'
tip2015_sort_nat_ISortCount ,  TIMEOUT
false_graph_bt3 ,  TIMEOUT
tip2015_sort_HSortIsSort ,  b'unsat\n'
prod_prop_06 ,  TIMEOUT
false_hotel_key_safe1 ,  TIMEOUT
tip2015_sort_HSort2Sorts ,  b'unsat\n'
tip2015_sort_ISortCount ,  TIMEOUT
tip2015_bin_plus_assoc ,  TIMEOUT
prod_prop_25 ,  TIMEOUT
tip2015_sort_NMSortTDCount ,  b'sat\n'
isaplanner_prop_57 ,  b'unsat\n'
grammars_simp_expr_unambig1 ,  TIMEOUT
tip2015_list_append_inj_1 ,  TIMEOUT
false_queue1_QueueL ,  TIMEOUT
tip2015_bin_plus ,  TIMEOUT
prod_prop_48 ,  TIMEOUT
tip2015_sort_HSort2IsSort ,  TIMEOUT
tip2015_propositional_Okay ,  TIMEOUT
tip2015_list_append_inj_2 ,  TIMEOUT
tip2015_sort_TSortIsSort ,  TIMEOUT
tip2015_sort_nat_NStoogeSortCount ,  TIMEOUT
false_regexp_star_plus_easy_1 ,  TIMEOUT
false_regexp_kfind5 ,  TIMEOUT
tip2015_escape_Injective ,  TIMEOUT
isaplanner_prop_56 ,  b'unsat\n'
prod_prop_32 ,  TIMEOUT
tip2015_sort_nat_BSortSorts ,  b'sat\n'
tip2015_sort_nat_MSortTDSorts ,  b'sat\n'
prod_prop_45 ,  TIMEOUT
tip2015_rotate_self ,  TIMEOUT
false_regexp_kfind4 ,  TIMEOUT
false_graph_d7 ,  TIMEOUT
tip2015_sort_ISortSorts ,  b'unsat\n'
tip2015_sort_StoogeSortSorts ,  b'unsat\n'
isaplanner_prop_45 ,  TIMEOUT
isaplanner_prop_46 ,  b'sat\n'
tip2015_sort_nat_MSortTDCount ,  b'unsat\n'
isaplanner_prop_78 ,  b'unsat\n'
false_hotel_key_safe0 ,  TIMEOUT
tip2015_relaxedprefix_is_prefix_2 ,  TIMEOUT
prod_prop_46 ,  TIMEOUT
tip2015_sort_nat_StoogeSortSorts ,  b'unsat\n'
tip2015_sort_nat_BubSortCount ,  TIMEOUT
false_regexp_koen_easy ,  TIMEOUT
false_graph_d5 ,  TIMEOUT
tip2015_sort_MSortBU2IsSort ,  b'unsat\n'
false_cfg5_unambig ,  TIMEOUT
prod_prop_02 ,  TIMEOUT
false_regexp_kfind3 ,  TIMEOUT
isaplanner_prop_55 ,  b'unsat\n'
isaplanner_prop_44 ,  TIMEOUT
tip2015_sort_NMSortTDIsSort ,  b'sat\n'
prod_prop_04 ,  TIMEOUT
tip2015_sort_nat_NStoogeSortSorts ,  b'unsat\n'
tip2015_regexp_RecStar ,  TIMEOUT
false_productive_use_of_failure_rot_comm ,  TIMEOUT
isaplanner_prop_28 ,  TIMEOUT
prod_prop_03 ,  TIMEOUT
prod_prop_07 ,  TIMEOUT
tip2015_sort_StoogeSort2Sorts ,  b'unsat\n'
tip2015_regexp_PlusAssociative ,  TIMEOUT
isaplanner_prop_71 ,  TIMEOUT
false_productive_use_of_failure_rot_bogus ,  b'unsat\n'
prod_prop_19 ,  TIMEOUT
isaplanner_prop_30 ,  TIMEOUT
tip2015_list_nat_Interleave ,  TIMEOUT
false_queue2_QueueR ,  TIMEOUT
tip2015_sort_MSortTDIsSort ,  b'unsat\n'
false_productive_use_of_failure_rot_uhhhw2 ,  b'unsat\n'
prod_prop_37 ,  TIMEOUT
false_productive_use_of_failure_app_inj2 ,  TIMEOUT
tip2015_bin_nat_distrib ,  TIMEOUT
