 false_regexp_same; TIMEOUT
 tip2015_sort_BSortSorts; TIMEOUT
 tip2015_sort_MSortBU2Sorts; TIMEOUT
 tip2015_rotate_snoc_self; TIMEOUT
 prod_prop_19; TIMEOUT
 prod_prop_16; TIMEOUT
 tip2015_fermat_last; TIMEOUT
 tip2015_weird_nat_add3acc_assoc3; TIMEOUT
 false_regexp_find3; TIMEOUT
 isaplanner_prop_30; TIMEOUT
 tip2015_regexp_PlusIdempotent; TIMEOUT
 tip2015_sort_HSort2Count; TIMEOUT
 prod_prop_49; TIMEOUT
 tip2015_weird_nat_op_assoc; TIMEOUT
 tip2015_nat_boring_min_assoc; TIMEOUT
 tip2015_sort_nat_TSortSorts; TIMEOUT
 tip2015_nat_lt_irreflexive; b'sat\n'
 tip2015_sort_nat_TSortCount; TIMEOUT
 tip2015_nat_acc_alt_mul_assoc; TIMEOUT
 false_regexp_kfind3; TIMEOUT
 tip2015_nat_acc_plus_comm; TIMEOUT
 tip2015_sort_nat_NStoogeSort2IsSort; TIMEOUT
 tip2015_sort_NStoogeSort2IsSort; TIMEOUT
 isaplanner_prop_05; TIMEOUT
 prod_prop_04; TIMEOUT
 isaplanner_prop_83; TIMEOUT
 tip2015_list_PairUnpair; b'sat\n'
 false_hotel_key_safe2; TIMEOUT
 prod_prop_29; TIMEOUT
 tip2015_sort_nat_HSortSorts; TIMEOUT
 false_productive_use_of_failure_rot_inj1; TIMEOUT
 false_regexp_find5; TIMEOUT
 isaplanner_prop_44; TIMEOUT
 tip2015_nat_max_idem; b'sat\n'
 prod_prop_03; TIMEOUT
 tip2015_int_left_distrib; TIMEOUT
 tip2015_weird_nat_add3_comm13; TIMEOUT
 tip2015_nat_boring_gt_trans; TIMEOUT
 false_regexp_bad_assoc; TIMEOUT
 prod_prop_01; TIMEOUT
 false_graph_p21; TIMEOUT
 tip2015_propositional_AndImplication; TIMEOUT
 isaplanner_prop_17; b'sat\n'
 tip2015_sort_ISortSorts; TIMEOUT
 tip2015_int_mul_assoc; TIMEOUT
 prod_prop_27; TIMEOUT
 prod_prop_48; TIMEOUT
 tip2015_nicomachus_theorem; b'sat\n'
 tip2015_rotate_structural_mod; TIMEOUT
 tip2015_weird_nat_mul2_comm; TIMEOUT
 tip2015_weird_nat_op_comm_comm; TIMEOUT
 tip2015_nat_min_max_distrib; TIMEOUT
 tip2015_list_nat_append_inj_2; TIMEOUT
 tip2015_weird_nat_mul3acc_assoc1; TIMEOUT
 false_cfg5_unambig; TIMEOUT
 false_graph_p7; TIMEOUT
 tip2015_rotate_self; TIMEOUT
 tip2015_weird_nat_add3acc_comm23; TIMEOUT
 tip2015_weird_nat_op_assoc2; TIMEOUT
 isaplanner_prop_39; TIMEOUT
 tip2015_regexp_RecStar; TIMEOUT
 isaplanner_prop_28; TIMEOUT
 tip2015_bin_nat_plus_comm; TIMEOUT
 tip2015_nat_acc_plus_same; TIMEOUT
 tip2015_int_right_distrib; TIMEOUT
 tip2015_int_add_comm; TIMEOUT
 false_queue1_QueueR; TIMEOUT
 tip2015_list_append_inj_2; TIMEOUT
 tip2015_bin_nat_distrib; TIMEOUT
 tip2015_sort_nat_HSortCount; TIMEOUT
 tip2015_bin_nat_times_comm; TIMEOUT
 prod_prop_06; TIMEOUT
 tip2015_tree_SwapAB; TIMEOUT
 tip2015_tree_Flatten2; TIMEOUT
 tip2015_propositional_AndIdempotent; b'sat\n'
 prod_prop_15; TIMEOUT
 false_regexp_kfind4; TIMEOUT
 tip2015_nat_le_ge_eq; TIMEOUT
 tip2015_sort_NMSortTDSorts; b'sat\n'
 false_queue1_QueueL; TIMEOUT
 tip2015_sort_BubSortIsSort; TIMEOUT
 tip2015_sort_TSortSorts; TIMEOUT
 tip2015_list_Interleave; TIMEOUT
 isaplanner_prop_59; TIMEOUT
 isaplanner_prop_26; TIMEOUT
 isaplanner_prop_54; TIMEOUT
 false_regexp_deluxe_star_plus; TIMEOUT
 tip2015_weird_nat_add3_same; TIMEOUT
 grammars_simp_expr_unambig5; TIMEOUT
 tip2015_sort_StoogeSortIsSort; TIMEOUT
 tip2015_regexp_SeqDistrPlus; TIMEOUT
 tip2015_sort_HSortCount; TIMEOUT
 prod_prop_25; TIMEOUT
 isaplanner_prop_52; TIMEOUT
 tip2015_nat_pow_pow; TIMEOUT
 tip2015_regexp_RecSeq; TIMEOUT
 tip2015_regexp_Reverse; TIMEOUT
 tip2015_weird_nat_add3_assoc1; TIMEOUT
 false_graph_bt5; TIMEOUT
 tip2015_sort_nat_StoogeSortIsSort; TIMEOUT
 false_regexp_kfind6; TIMEOUT
 isaplanner_prop_49; TIMEOUT
 prod_prop_05; TIMEOUT
 tip2015_sort_nat_NStoogeSortCount; TIMEOUT
 tip2015_weird_nat_mul3acc_spec; TIMEOUT
 false_regexp_deluxe_bad_assoc; TIMEOUT
 prod_prop_24; TIMEOUT
 tip2015_relaxedprefix_correct; TIMEOUT
 false_productive_use_of_failure_rot_uhhhw2; b'unsat\n'
 tip2015_int_add_inv_right; b'unknown\n'
 false_queue3_QueueL; TIMEOUT
 isaplanner_prop_84; TIMEOUT
 tip2015_weird_nat_add3_comm23; TIMEOUT
 tip2015_sort_nat_NStoogeSortIsSort; TIMEOUT
 prod_prop_11; TIMEOUT
 tip2015_nat_pow_le_factorial; TIMEOUT
 tip2015_weird_nat_mul3_rrot; TIMEOUT
 prod_prop_26; TIMEOUT
 tip2015_weird_nat_mul3_assoc3; TIMEOUT
 tip2015_regexp_RecEps; TIMEOUT
 prod_prop_02; TIMEOUT
 isaplanner_prop_82; TIMEOUT
 tip2015_relaxedprefix_is_prefix_3; TIMEOUT
 tip2015_sort_MSortBU2Count; TIMEOUT
 tip2015_weird_nat_add3_rrot; TIMEOUT
 isaplanner_prop_15; TIMEOUT
 isaplanner_prop_71; TIMEOUT
 false_regexp_star_plus; TIMEOUT
 prod_prop_20; TIMEOUT
 tip2015_regexp_RecPlus; TIMEOUT
 isaplanner_prop_18; TIMEOUT
 tip2015_weird_nat_add3acc_rrot; TIMEOUT
 false_productive_use_of_failure_len_bs; b'unsat\n'
 tip2015_weird_nat_mul3acc_comm13; TIMEOUT
 tip2015_mccarthy91_M2; TIMEOUT
 prod_prop_30; TIMEOUT
 false_graph_t5; TIMEOUT
 tip2015_weird_nat_add3_assoc2; TIMEOUT
 tip2015_sort_nat_MSortBU2Sorts; TIMEOUT
 tip2015_relaxedprefix_is_prefix_4; TIMEOUT
 prod_prop_41; TIMEOUT
 tip2015_weird_nat_mul3_assoc2; TIMEOUT
 prod_prop_07; TIMEOUT
 grammars_simp_expr_unambig2; TIMEOUT
 tip2015_list_weird_is_normal; TIMEOUT
 isaplanner_prop_77; TIMEOUT
 tip2015_rotate_mod; TIMEOUT
 tip2015_bin_nat_plus; TIMEOUT
 false_graph_bt4; TIMEOUT
 false_productive_use_of_failure_rot_uhhhw1; b'unsat\n'
 tip2015_bin_plus_assoc; TIMEOUT
 tip2015_relaxedprefix_is_prefix_1; TIMEOUT
 false_graph_p9; TIMEOUT
 tip2015_sort_nat_StoogeSort2Sorts; TIMEOUT
 tip2015_weird_nat_add3acc_rot; TIMEOUT
 tip2015_regexp_Star; TIMEOUT
 tip2015_sort_nat_BubSortIsSort; TIMEOUT
 grammars_simp_expr_unambig4; TIMEOUT
 isaplanner_prop_53; TIMEOUT
 prod_prop_34; TIMEOUT
 tip2015_nat_boring_max_min_distrib; TIMEOUT
 tip2015_bin_s; TIMEOUT
 prod_prop_40; TIMEOUT
 isaplanner_prop_72; TIMEOUT
 prod_prop_37; TIMEOUT
 tip2015_sort_nat_BubSortSorts; TIMEOUT
 tip2015_weird_nat_mul3_same; TIMEOUT
 false_regexp_find6; TIMEOUT
 tip2015_sort_nat_ISortCount; TIMEOUT
 tip2015_int_mul_ident_right; TIMEOUT
 isaplanner_prop_29; TIMEOUT
 tip2015_sort_nat_NMSortTDIsSort; TIMEOUT
 isaplanner_prop_09; TIMEOUT
 tip2015_list_nat_Interleave; TIMEOUT
 false_productive_use_of_failure_rot_comm; TIMEOUT
 isaplanner_prop_13; TIMEOUT
 isaplanner_prop_86; TIMEOUT
 false_regexp_deluxe_iter; TIMEOUT
 tip2015_weird_nat_mul3acc_assoc2; TIMEOUT
 tip2015_int_add_ident_left; TIMEOUT
 false_productive_use_of_failure_rot_uhhh; TIMEOUT
 tip2015_sort_NStoogeSortCount; TIMEOUT
 tip2015_weird_nat_add3acc_comm13; TIMEOUT
 tip2015_weird_nat_mul3acc_rrot; TIMEOUT
 tip2015_nat_alt_mul_comm; TIMEOUT
 prod_prop_18; TIMEOUT
 prod_prop_08; TIMEOUT
 isaplanner_prop_80; TIMEOUT
 isaplanner_prop_24; TIMEOUT
 tip2015_sort_BubSortSorts; TIMEOUT
 false_productive_use_of_failure_drop_inj1; b'unsat\n'
 tip2015_mod_same; b'unsat\n'
 isaplanner_prop_65; TIMEOUT
 tip2015_sort_NMSortTDIsSort; TIMEOUT
 false_regexp_find4; TIMEOUT
 false_regexp_star_plus_easy_2; TIMEOUT
 tip2015_regexp_Deeps; TIMEOUT
 isaplanner_prop_37; TIMEOUT
 tip2015_sort_BSortIsSort; TIMEOUT
 prod_prop_44; TIMEOUT
 tip2015_weird_nat_mul3acc_comm23; TIMEOUT
 isaplanner_prop_56; TIMEOUT
 tip2015_int_mul_ident_left; TIMEOUT
 tip2015_sort_nat_StoogeSort2IsSort; TIMEOUT
 tip2015_sort_StoogeSort2IsSort; TIMEOUT
 prod_prop_43; TIMEOUT
 tip2015_rotate_snoc; TIMEOUT
 false_regexp_kfind7; TIMEOUT
 false_graph_btp5; TIMEOUT
 tip2015_nat_acc_alt_mul_same; TIMEOUT
 isaplanner_prop_22; TIMEOUT
 tip2015_regexp_SeqAssociative; TIMEOUT
 false_regexp_star_plus_1; TIMEOUT
 false_regexp_find2; TIMEOUT
 tip2015_nat_lt_ne; b'sat\n'
 isaplanner_prop_48; TIMEOUT
 tip2015_bin_times; TIMEOUT
 false_graph_p11; TIMEOUT
 false_productive_use_of_failure_drop_comm; TIMEOUT
 isaplanner_prop_46; b'sat\n'
 tip2015_int_add_assoc; TIMEOUT
 prod_prop_38; TIMEOUT
 tip2015_sort_nat_NMSortTDSorts; TIMEOUT
 tip2015_sort_MSortTDCount; TIMEOUT
 isaplanner_prop_51; TIMEOUT
 isaplanner_prop_31; TIMEOUT
 tip2015_nat_boring_ge_reflexive; b'sat\n'
 tip2015_sort_nat_BubSortCount; TIMEOUT
 tip2015_bin_nat_times; TIMEOUT
 false_regexp_koen_easy; TIMEOUT
 tip2015_nat_max_assoc; TIMEOUT
 false_regexp_kfind2; TIMEOUT
 isaplanner_prop_60; TIMEOUT
 isaplanner_prop_74; TIMEOUT
 tip2015_sort_TSortIsSort; TIMEOUT
 isaplanner_prop_10; b'sat\n'
 prod_prop_36; TIMEOUT
 tip2015_nat_le_ne_lt; TIMEOUT
 tip2015_sort_nat_MSortBU2IsSort; TIMEOUT
 prod_prop_50; TIMEOUT
 tip2015_nat_pow_times; TIMEOUT
 false_regexp_deluxe_FromToConj; b'sat\n'
 tip2015_weird_nat_add3_assoc3; TIMEOUT
 tip2015_sort_StoogeSortCount; TIMEOUT
 tip2015_bin_times_assoc; TIMEOUT
 tip2015_sort_nat_HSort2Count; TIMEOUT
 tip2015_sort_NStoogeSortSorts; TIMEOUT
 tip2015_sort_nat_BSortSorts; TIMEOUT
 tip2015_weird_nat_op_spec; TIMEOUT
 tip2015_sort_NMSortTDCount; TIMEOUT
 prod_prop_42; TIMEOUT
 isaplanner_prop_33; TIMEOUT
 tip2015_nat_boring_max_min_abs; TIMEOUT
 tip2015_weird_nat_mul3acc_comm12; TIMEOUT
 isaplanner_prop_21; TIMEOUT
 tip2015_bin_nat_times_assoc; TIMEOUT
